City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Camacha,PT,63.82,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
2,Arraial Do Cabo,BR,67.68,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
6,Jamestown,US,64.94,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
11,Vila Franca Do Campo,PT,64.2,few clouds,37.7167,-25.4333,Pestana Bahia Praia
14,Natal,BR,72.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
18,Praia Da Vitoria,PT,61.05,few clouds,38.7333,-27.0667,Hotel Branco I
19,Port Alfred,ZA,69.87,overcast clouds,-33.5906,26.891,The Halyards Hotel
22,Novopokrovskaya,RU,69.01,overcast clouds,45.9514,40.7006,Etalon hotel
23,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
25,Ponta Do Sol,PT,66.83,broken clouds,32.6667,-17.1,Hotel do Campo
26,Cockburn Town,TC,79.83,clear sky,21.4612,-71.1419,Osprey Beach Hotel
27,Le Vauclin,MQ,80.65,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
29,Gerash,IR,75.34,clear sky,27.6652,54.1371,Sa'adat House Gerash
31,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
32,Hamilton,US,73.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
33,Changji,CN,83.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
34,Busselton,AU,63.66,clear sky,-33.65,115.3333,Observatory Guest House
35,Mogadishu,SO,78.1,broken clouds,2.0371,45.3438,Hotel Juba
37,Tahta,EG,80.69,clear sky,26.7693,31.5021,فندق الزيات
43,Talnakh,RU,65.23,broken clouds,69.4865,88.3972,Talnakh Hotel
46,Naples,IT,74.84,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
48,Grand Gaube,MU,73.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
50,Ribeira Grande,PT,63.03,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
51,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
52,Abu Kamal,SY,75.67,clear sky,34.4506,40.9171,البوكمال
54,Salalah,OM,80.51,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
55,Medea,DZ,76.75,broken clouds,36.2642,2.7539,Hôtel M'Sallah
57,Mizdah,LY,64.08,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
59,Grajau,BR,71.78,few clouds,-5.8194,-46.1386,Hotel Confiança
60,Jiquinlaca,HN,69.33,overcast clouds,14.0,-88.35,Hotel Plaza Colonial
65,Bambous Virieux,MU,73.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
66,Sabana Grande De Boya,DO,73.8,broken clouds,18.945,-69.7933,Balcones De Boya
69,Victoria,HK,86.97,overcast clouds,22.2855,114.1577,Mini Central
73,Port Elizabeth,ZA,66.49,clear sky,-33.918,25.5701,39 On Nile Guest House
75,Kutum,SD,74.53,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
76,Kilindoni,TZ,78.96,broken clouds,-7.9139,39.6668,Bustani B&B
77,Kalemie,CD,69.17,broken clouds,-5.9475,29.1947,Mahobilali
78,Chapleau,CA,64.49,scattered clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
80,Sur,OM,82.81,clear sky,22.5667,59.5289,Sur Plaza Hotel
81,East London,ZA,75.6,overcast clouds,-33.0153,27.9116,Tu Casa
82,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
84,Logansport,US,80.65,clear sky,40.7545,-86.3567,"Holiday Inn Express & Suites Logansport, an IHG Hotel"
86,Inhambane,MZ,67.06,clear sky,-23.865,35.3833,Oceano
88,Hithadhoo,MV,83.12,scattered clouds,-0.6,73.0833,Scoop Guest House
90,Nosy Varika,MG,65.66,heavy intensity rain,-20.5833,48.5333,Hotel Volazara
94,Marovoay,MG,65.71,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
95,Lagoa,PT,62.17,overcast clouds,39.05,-27.9833,Casa Das Faias
96,Krasnoselkup,RU,66.94,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
97,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
102,Garowe,SO,76.41,overcast clouds,8.4054,48.4845,Curubo Hotel
103,Richards Bay,ZA,60.08,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
106,Lyman,UA,65.3,overcast clouds,48.9884,37.8023,"Вілла ""Філін"""
107,Grand-Santi,GF,72.52,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
108,Anloga,GH,80.24,overcast clouds,5.7947,0.8973,Pin Drop Hotel
109,Farafangana,MG,66.63,light rain,-22.8167,47.8333,Miarina
110,Tonekabon,IR,73.35,clear sky,36.8163,50.8738,Hotel Sadra
112,Muros,ES,69.1,clear sky,42.7762,-9.0603,Apartment Av. Castelao
113,Sabha,LY,75.51,few clouds,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
114,Buraydah,SA,82.85,clear sky,26.326,43.975,Mövenpick Qassim
115,Abeche,TD,82.35,light rain,13.8292,20.8324,Assaleh Hamdan Haroune
116,Barcelos,PT,66.34,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
119,Oriximina,BR,73.04,clear sky,-1.7656,-55.8661,Pousada Tia Amélia
