City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ilulissat,GL,69.2167,-51.1,33.82,75,100,11.5,overcast clouds
1,Camacha,PT,33.0833,-16.3333,63.82,72,75,1.14,broken clouds
2,Arraial Do Cabo,BR,-22.9661,-42.0278,67.68,80,100,20.54,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,40.66,81,40,25.32,scattered clouds
4,Ostrovnoy,RU,68.0531,39.5131,44.2,96,100,5.7,overcast clouds
5,Chuy,UY,-33.6971,-53.4616,51.03,94,7,5.59,clear sky
6,Jamestown,US,42.097,-79.2353,64.94,47,100,1.01,overcast clouds
7,Tsabong,BW,-26.0217,22.401,58.15,37,100,14.45,overcast clouds
8,Tasiilaq,GL,65.6145,-37.6368,36.36,98,100,10.33,moderate rain
9,Iqaluit,CA,63.7506,-68.5145,38.93,80,100,3.44,light rain
10,Cortland,US,42.6001,-76.083,59.7,79,0,0.0,clear sky
11,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,84,22,7.45,few clouds
12,Clyde River,CA,70.4692,-68.5914,34.03,86,100,6.91,overcast clouds
13,Cape Town,ZA,-33.9258,18.4232,55.81,88,75,12.66,heavy intensity rain
14,Natal,BR,-5.795,-35.2094,72.25,100,20,3.44,few clouds
15,Bestobe,KZ,52.4994,73.0975,61.48,80,100,9.22,overcast clouds
16,Bredasdorp,ZA,-34.5322,20.0403,52.07,89,42,7.05,scattered clouds
17,Dudinka,RU,69.4058,86.1778,58.32,54,100,16.13,overcast clouds
18,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,94,20,5.7,few clouds
19,Port Alfred,ZA,-33.5906,26.891,69.87,47,100,8.32,overcast clouds
20,Trapani,IT,37.8333,12.6667,69.89,82,0,3.44,clear sky
21,Valparaiso,CL,-33.0393,-71.6273,53.47,80,100,2.3,overcast clouds
22,Novopokrovskaya,RU,45.9514,40.7006,69.01,49,100,7.72,overcast clouds
23,Bathsheba,BB,13.2167,-59.5167,79.41,83,20,18.41,few clouds
24,Strezhevoy,RU,60.7333,77.5889,57.6,88,89,7.7,overcast clouds
25,Ponta Do Sol,PT,32.6667,-17.1,66.83,66,80,3.53,broken clouds
26,Cockburn Town,TC,21.4612,-71.1419,79.83,86,2,17.81,clear sky
27,Le Vauclin,MQ,14.5452,-60.8388,80.65,78,20,13.8,few clouds
28,Mar Del Plata,AR,-38.0023,-57.5575,53.1,73,0,6.91,clear sky
29,Gerash,IR,27.6652,54.1371,75.34,49,0,3.44,clear sky
30,Olafsvik,IS,64.8945,-23.7142,49.51,95,100,13.33,light rain
31,Saint-Philippe,RE,-21.3585,55.7679,65.79,77,50,14.99,scattered clouds
32,Hamilton,US,39.1834,-84.5333,73.99,95,0,5.75,clear sky
33,Changji,CN,44.0167,87.3167,83.19,36,0,13.42,clear sky
34,Busselton,AU,-33.65,115.3333,63.66,62,8,10.04,clear sky
35,Mogadishu,SO,2.0371,45.3438,78.1,82,83,17.4,broken clouds
36,Hermanus,ZA,-34.4187,19.2345,51.8,80,13,19.66,light rain
37,Tahta,EG,26.7693,31.5021,80.69,33,0,6.93,clear sky
38,Murdochville,CA,48.9583,-65.5006,43.68,99,100,3.8,overcast clouds
39,Mushie,CD,-3.0167,16.9,72.84,66,100,2.37,overcast clouds
40,Nuuk,GL,64.1835,-51.7216,36.88,86,9,8.99,clear sky
41,Saint George,US,37.1041,-113.5841,93.63,14,0,18.41,clear sky
42,Dikson,RU,73.5069,80.5464,30.74,89,80,10.47,broken clouds
43,Talnakh,RU,69.4865,88.3972,65.23,48,84,0.34,broken clouds
44,Buncrana,IE,55.1333,-7.45,48.65,89,100,6.22,overcast clouds
45,Saint-Francois,FR,46.4154,3.9054,52.68,93,0,0.0,clear sky
46,Naples,IT,40.8333,14.25,74.84,59,0,2.3,clear sky
47,Cidreira,BR,-30.1811,-50.2056,57.42,87,61,3.06,broken clouds
48,Grand Gaube,MU,-20.0064,57.6608,73.38,61,94,7.0,overcast clouds
49,Tres De Maio,BR,-27.7733,-54.24,48.33,90,0,5.03,clear sky
50,Ribeira Grande,PT,38.5167,-28.7,63.03,80,100,7.56,overcast clouds
51,Georgetown,MY,5.4112,100.3354,85.93,87,20,3.44,few clouds
52,Abu Kamal,SY,34.4506,40.9171,75.67,51,0,7.02,clear sky
53,Kautokeino,NO,69.0125,23.0412,49.19,93,98,9.31,overcast clouds
54,Salalah,OM,17.0151,54.0924,80.51,86,93,3.02,overcast clouds
55,Medea,DZ,36.2642,2.7539,76.75,22,75,5.57,broken clouds
56,Olavarria,AR,-36.8927,-60.3225,51.03,64,100,10.98,overcast clouds
57,Mizdah,LY,31.4451,12.9801,64.08,58,0,2.48,clear sky
58,Hofn,IS,64.2539,-15.2082,50.07,99,100,11.52,moderate rain
59,Grajau,BR,-5.8194,-46.1386,71.78,93,16,2.57,few clouds
60,Jiquinlaca,HN,14.0,-88.35,69.33,97,100,2.37,overcast clouds
